datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_04,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,1303.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,2347.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,1538.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,2190.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,1575.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,103.0;14.0;20.0;36.0;256.0;237.0;280.0|1;1;0,2400.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,60.0;17.0;17.0;28.0;16.0;103.0;156.0|1;0;0,1504.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,1698.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,2247.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,1872.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,2001.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,2136.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,2256.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,1503.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,1482.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,2293.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,2102.0,ssb-flat,10
hudi,trino,ssb_flat_q_04,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,1399.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1111.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,1605.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,706.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,1392.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,897.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,967.0,ssb-flat,10
hudi,trino,ssb_flat_q_05,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,872.0,ssb-flat,10
